Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Pseudacris streckeri,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog,Strecker's Chorus Frog
Pseudacris triseriata,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog,Striped Chorus Frog
Pseudasthenes humicola,Dusky-tailed Canastero,Synallaxe à queue noire,Canastero Colinegro,Donkerstaartcanastero,rødknokekurvfugl,Dusky-tailed Canastero,Dusky-tailed Canastero,Rostschultercanastero,Dusky-tailed Canastero,オグロカマドドリ,Dusky-tailed Canastero,koszykarek ciemnosterny,Dusky-tailed canastero,Dusky-Tailed Canastero,Темнохвостая болария,Mörkstjärtad kanastero,Dusky-tailed Canastero,Gri Kuyruklu Sepetçi,Канастеро чорнохвостий,乌尾卡纳灶鸟
Pseudastur albicollis,White Hawk,Buse blanche,Busardo Blanco,Grote Bonte Buizerd,hvitvåk,White Hawk,White Hawk,Schneebussard,White Hawk,シロノスリ,White Hawk,białostrząb duży,Bútio-branco,Gavião-Branco,Белая агуйла,Vitvråk,White Hawk,Beyaz Şahin,Канюк білий,白南美鵟
Pseudastur occidentalis,Grey-backed Hawk,Buse à dos gris,Busardo Dorsigrís,Salvins Bonte Buizerd,ecuadorvåk,Gray-backed Hawk,Gray-backed Hawk,Graurückenbussard,Gray-backed Hawk,ハイセノスリ,Gray-backed Hawk,białostrząb szarogłowy,Gray-backed hawk,Gray-Backed Hawk,Сероспинная агуйла,Gråryggig vråk,Gray-backed Hawk,Gri Sırtlı Şahin,Канюк сіроголовий,灰背南美鵟
Pseudelaenia leucospodia,Grey-and-white Tyrannulet,Tyranneau gris et blanc,Mosquerito Blanquigrís,Grijs-witte Elenia,ørkentyrannulett,Gray-and-white Tyrannulet,Gray-and-white Tyrannulet,Weißkronentyrann,Gray-and-white Tyrannulet,シロキクイタダキモドキ,Gray-and-white Tyrannulet,białoczuprynka,Gray-and-white tyrannulet,Gray-And-White Tyrannulet,Ложноэления,Ökendvärgtyrann,Gray-and-white Tyrannulet,Gri-Beyaz Elenya,Тиранець перуанський,灰白小霸鹟
Pseudeos cardinalis,Cardinal Lory,Lori cardinal,Lori Cardenal,Kardinaallori,kardinallori,Cardinal Lory,Cardinal Lory,Kardinallori,Cardinal Lory,ベニインコ,Cardinal Lory,lora szkarłatna,Cardinal Lory,Cardinal Lory,Кардиналовый лори,Kardinallori,Cardinal Lory,Kardinal Lorisi,Лорі-кардинал,暗红鹦鹉
Pseudibis papillosa,Red-naped Ibis,Ibis noir,Ibis Verrugoso,Wrattenibis,rødvorteibis,Red-naped Ibis,Red-naped Ibis,Warzenibis,Red-naped Ibis,アカアシトキ,Red-naped Ibis,ibis czarny,Red-naped ibis,Red-Naped Ibis,Бородавчатый ибис,Brahminibis,Red-naped Ibis,Kara Aynak,Ібіс індійський,黑鹮
Pseudocolaptes boissonneautii,Streaked Tuftedcheek,Pseudocolapte de Boissonneau,Trepamusgos Barbablanca Andino,Andespluimoor,stripeullkrage,Streaked Tuftedcheek,Streaked Tuftedcheek,Weißwangen-Astspäher,Streaked Tuftedcheek,エリマキカマドドリ,Streaked Tuftedcheek,kowalczyk andyjski,Streaked tuftedcheek,Streaked Tuftedcheek,Андский гусар,Andinsk ullkrage,Streaked Tuftedcheek,Çizgili Puf Yanaklı Tırmaşık,Ковальчик андійський,条纹簇颊灶鸫
Pseudocolaptes lawrencii,Buffy Tuftedcheek,Pseudocolapte chamois,Trepamusgos Barbablanca Panameño,Panamese Pluimoor,båndvingeullkrage,Buffy Tuftedcheek,Buffy Tuftedcheek,Fahlwangen-Astspäher,Buffy Tuftedcheek,キホオカマドドリ,Buffy Tuftedcheek,kowalczyk płowy,Buffy tuftedcheek,Buffy Tuftedcheek,Панамский гусар,Bandvingad ullkrage,Buffy Tuftedcheek,Kosta Rika Puf Yanaklı Tırmaşığı,Ковальчик панамський,黄簇颊灶鸫
Pseudocolopteryx citreola,Ticking Doradito,Doradite de Landbeck,Doradito Limón,Tikkerdoradito,tikkedoradito,Ticking Doradito,Ticking Doradito,Tickersumpftyrann,Ticking Doradito,レモンムシクイタイランチョウ,Ticking Doradito,mokradnik cytrynowy,Amarelinho-andino,Amarelinho-Andino,Певчий дорадито,Landbeckdoradito,Ticking Doradito,Sarı Doradito,Дорадито цитриновий,滴答多拉霸鹟
Pseudocolopteryx dinelliana,Dinelli's Doradito,Doradite de Dinelli,Doradito Tucumano,Driebanddoradito,argentinadoradito,Dinelli's Doradito,Dinelli's Doradito,Dinellisumpftyrann,Dinelli's Doradito,ムシクイタイランチョウ,Dinelli's Doradito,mokradnik argentyński,Tricolino-pardo,Tricolino-Pardo,Двухцветный дорадито,Argentinsk doradito,Dinelli's Doradito,Dinelli Doraditosu,Дорадито аргентинський,南美多拉霸鹟
Pseudocolopteryx flaviventris,Warbling Doradito,Doradite babillarde,Doradito Común,Rietdoradito,sangdoradito,Warbling Doradito,Warbling Doradito,Braunrücken-Sumpftyrann,Warbling Doradito,キバラムシクイタイランチョウ,Warbling Doradito,mokradnik szczebiotliwy,Amarelinho-do-junco,Amarelinho-Do-Junco,Тростниковый дорадито,Sångdoradito,Warbling Doradito,Sarı Karınlı Doradito,Дорадито очеретяний,拟莺多拉霸鹟
Pseudocolopteryx sclateri,Crested Doradito,Doradite de Sclater,Doradito Copetón,Kuifdoradito,duskdoradito,Crested Doradito,Crested Doradito,Schopfsumpftyrann,Crested Doradito,カンムリムシクイタイランチョウ,Crested Doradito,mokradnik czubaty,Tricolino,Tricolino,Хохлатый дорадито,Tofsdoradito,Crested Doradito,Tepeli Doradito,Дорадито чубатий,冠多拉霸鹟
Pseudoleistes guirahuro,Yellow-rumped Marshbird,Carouge guirahuro,Tordo Güirahuró,Geelstuitwatertroepiaal,gulgumptrupial,Yellow-rumped Marshbird,Yellow-rumped Marshbird,Gelbbürzelstärling,Yellow-rumped Marshbird,ヌマムクドリモドキ,Yellow-rumped Marshbird,moczarokacyk żółtobrzuchy,Chopim-dos-brejos,Chupim-Do-Brejo,Парагвайский курен,Gulgumpad trupial,Yellow-rumped Marshbird,Sarı Belli Karatavuk,Мочарець жовтогузий,黄腰沼泽雀
Pseudoleistes virescens,Brown-and-yellow Marshbird,Carouge dragon,Tordo Pechiamarillo,Bruine Watertroepiaal,brungumptrupial,Brown-and-yellow Marshbird,Brown-and-yellow Marshbird,Drachenstärling,Brown-and-yellow Marshbird,コヌマムクドリモドキ,Brown-and-yellow Marshbird,moczarokacyk brązowawy,Dragão,Dragão,Желтобрюхий курен,Gulbukig trupial,Brown-and-yellow Marshbird,Sarı Karınlı Karatavuk,Мочарець бронзовий,褐黄沼泽雀
Pseudonestor xanthophrys,Maui Parrotbill,Pseudonestor de Maui,Pseudonestor,Mauipapegaaiensnavel,papegøyefink,Maui Parrotbill,Maui Parrotbill,Papageischnabel-Kleidervogel,Maui Parrotbill,オウムハシハワイマシコ,Maui Parrotbill,hawajka papugodzioba,Maui parrotbill,Maui Parrotbill,Цветочница-попугаеклюв,Mauifink,Maui Parrotbill,Maui Papağangagası,Псевдокеа,毛岛鹦嘴雀
Pseudonigrita arnaudi,Grey-headed Social-Weaver,Républicain d'Arnaud,Tejedor Social de Arnaud,Marmerwever,gråkronevever,Gray-headed Social-Weaver,Gray-headed Social-Weaver,Marmorweber,Gray-headed Social-Weaver,ハイガシラシュウダンハタオリ,Gray-headed Social-Weaver,gromadnik siwogłowy,Gray-capped social-weaver,Gray-Capped Social-Weaver,Сероголовый ткачик-воробей,Gråkronad vävare,Gray-headed Social-Weaver,Gri Başlıklı Dokumacı,Громадник сіроголовий,灰头群织雀
Pseudopipra pipra,White-crowned Manakin,Manakin à tête blanche,Saltarín Coroniblanco,Witkruinmanakin,hvitkronemanakin,White-crowned Manakin,White-crowned Manakin,Weißscheitelpipra,White-crowned Manakin,シロボウシマイコドリ,White-crowned Manakin,gorzyk białogłowy,Cabeça-branca,Cabeça-Branca,Белошапочная пипра,Vitkronad manakin,White-crowned Manakin,Ak Taçlı Manakin,Салтарин білоголовий,白冠娇鹟
Pseudopodoces humilis,Ground Tit,Mésange de Hume,Carbonero Terrestre,Holengaai,bakkemeis,Ground Tit,Ground Tit,Tibetmeise,Ground Tit,ヒメサバクガラス,Ground Tit,pseudosójeczka,Ground tit,Ground Tit,"Тибетская ложносойка, земляная синица",Markhackare,Ground Tit,Toprak Baştankarası,Синиця довгодзьоба,地山雀
Pseudorectes ferrugineus,Rusty Pitohui,Siffleur ferrugineux,Pitohuí Herrumbroso,Roestpitohui,rustpitohui,Rusty Pitohui,Rusty Pitohui,Weißaugen-Dickkopf,Rusty Pitohui,サビイロモリモズ,Rusty Pitohui,fletnik rdzawy,Rusty pitohui,Rusty Pitohui,Рыжий питуи,Vitögd visslare,Rusty Pitohui,Kızılca Pitohuyi,Ядлівчак рудий,锈色林鵙鹟
Pseudoseisura cristata,Caatinga Cacholote,Cacholote roux,Cacholote de Caatinga,Kuifcachalote,rødtornskrike,Caatinga Cacholote,Caatinga Cacholote,Zimthaubenläufer,Caatinga Cacholote,エボシカマドドリ,Caatinga Cacholote,kamionek rudy,Casaca-de-couro,Casaca-De-Couro,Хохлатая качолота,Caatingatörnskrika,Caatinga Cacholote,Kaatinga Kaşolotu,Качолота рудочуба,棕巨灶鸫
Pseudoseisura gutturalis,White-throated Cacholote,Cacholote à gorge blanche,Cacholote Pardo,Witkeelcachalote,hvithaketornskrike,White-throated Cacholote,White-throated Cacholote,Weißkehl-Haubenläufer,White-throated Cacholote,ノドジロエボシカマドドリ,White-throated Cacholote,kamionek białogardły,White-throated cacholote,White-Throated Cacholote,Белогорлая качолота,Vitstrupig törnskrika,White-throated Cacholote,Ak Gerdanlı Kaşolot,Качолота білогорла,白喉巨灶鸫
Pseudoseisura lophotes,Brown Cacholote,Cacholote brun,Cacholote Castaño,Bruine Cachalote,bruntornskrike,Brown Cacholote,Brown Cacholote,Braunhaubenläufer,Brown Cacholote,チャイロエボシカマドドリ,Brown Cacholote,kamionek brązowy,Coperete,Coperete,Бурая качолота,Brun törnskrika,Brown Cacholote,Kahverengi Kaşolot,Качолота чорночуба,褐巨灶鸫
Pseudoseisura unirufa,Rufous Cacholote,Cacholote uni,Cacholote Crestigrís,Grijskuifcachalote,gråtopptornskrike,Rufous Cacholote,Rufous Cacholote,Grauschopf-Haubenläufeer,Rufous Cacholote,アカエボシカマドドリ,Rufous Cacholote,kamionek szaroczuby,Casaca-de-couro-de-crista-cinzenta,Casaca-De-Couro-De-Crista-Cinza,Рыжая качолота,Gråtofsad törnskrika,Rufous Cacholote,Kızıl Kaşolot,Качолота сірочуба,灰冠巨灶鸫
Pseudospingus verticalis,Black-headed Hemispingus,Tangara à tête noire,Hemispingo Cabecinegro,Zwartkophemispingus,koronatanagar,Black-headed Hemispingus,Black-headed Hemispingus,Schwarzkopf-Finkentangare,Black-headed Hemispingus,ズグロモリフウキンチョウ,Black-headed Hemispingus,zieleńczyk kapturowy,Black-headed hemispingus,Black-Headed Hemispingus,Черноголовая пипира,Gråkronad tangara,Black-headed Hemispingus,Kara Başlı Hemispingus,Зеленяр чорноголовий,黑头拟雀
Pseudotriccus pelzelni,Bronze-olive Pygmy-Tyrant,Tyranneau bronzé,Tiranuelo Bronceado,Bronzen Dwergtiran,brundvergtyrann,Bronze-olive Pygmy-Tyrant,Bronze-olive Pygmy-Tyrant,Bronzeolivtyrann,Bronze-olive Pygmy-Tyrant,コバシハエトリモドキ,Bronze-olive Pygmy-Tyrant,tyranulek brunatny,Bronze-olive pygmy-tyrant,Bronze-Olive Pygmy-Tyrant,Бронзовый каполего,Bronspygmétyrann,Bronze-olive Pygmy-Tyrant,Bronz Küçük Tiran,Каполего бронзовий,铜绿侏霸鹟
Pseudotriccus ruficeps,Rufous-headed Pygmy-Tyrant,Tyranneau à tête rousse,Tiranuelo Cabecirrojo,Roodkopdwergtiran,rødhodedvergtyrann,Rufous-headed Pygmy-Tyrant,Rufous-headed Pygmy-Tyrant,Rotkopftyrann,Rufous-headed Pygmy-Tyrant,ズアカハエトリモドキ,Rufous-headed Pygmy-Tyrant,tyranulek rudogłowy,Rufous-headed pygmy-tyrant,Rufous-Headed Pygmy-Tyrant,Рыжеголовый каполего,Rödhuvad pygmétyrann,Rufous-headed Pygmy-Tyrant,Kırmızı Başlı Küçük Tiran,Каполего рудоголовий,棕头侏霸鹟
Psilopogon annamensis,Indochinese Barbet,Barbu d'Annam,Barbudo de Annam,Indochinese Baardvogel,annamskjeggfugl,Indochinese Barbet,Indochinese Barbet,Annambartvogel,Indochinese Barbet,インドシナゴシキドリ,Indochinese Barbet,pstrogłów indochiński,Indochinese barbet,Indochinese Barbet,Вьетнамский бородастик,Indokinabarbett,Indochinese Barbet,Çinhindi Barbeti,Бородастик індокитайський,中南拟啄木鸟
Psilopogon armillaris,Flame-fronted Barbet,Barbu souci-col,Barbudo Coroniazul,Blauwkapbaardvogel,armillaskjeggfugl,Flame-fronted Barbet,Flame-fronted Barbet,Temminckbartvogel,Flame-fronted Barbet,ズアオゴシキドリ,Flame-fronted Barbet,pstrogłów okularowy,Flame-fronted barbet,Flame-Fronted Barbet,Оранжеволобый бородастик,Eldpannad barbett,Flame-fronted Barbet,Turuncu Alınlı Barbet,Бородастик вогнистолобий,蓝顶拟啄木鸟
Psilopogon asiaticus,Blue-throated Barbet,Barbu à gorge bleue,Barbudo Gorjiazul Común,Blauwkeel-baardvogel,blåstrupeskjeggfugl,Blue-throated Barbet,Blue-throated Barbet,Blauwangen-Bartvogel,Blue-throated Barbet,アオノドゴシキドリ,Blue-throated Barbet,pstrogłów niebieskolicy,Blue-throated barbet,Blue-Throated Barbet,Голубощёкий бородастик,Blåstrupig barbett,นกโพระดกคอสีฟ้า,Mavi Boğazlı Barbet,Бородастик блакитнощокий,蓝喉拟啄木鸟
Psilopogon auricularis,Necklaced Barbet,Barbu à gorge d'or,Barbudo Acollarado,Goudkeelbaardvogel (auricularis),smykkeskjeggfugl,Necklaced Barbet,Necklaced Barbet,Weißwangen-Bartvogel,Necklaced Barbet,キンノドゴシキドリ,Necklaced Barbet,pstrogłów złotogardły,Necklaced barbet,Necklaced Barbet,Necklaced Barbet,Halsbandsbarbett,Necklaced Barbet,Altın Tepeli Barbet,Бородастик лаоський,斑喉拟啄木鸟
Psilopogon australis,Yellow-eared Barbet,Barbu à calotte bleue,Barbudo Orejigualdo,Geeloorbaardvogel,småskjeggfugl,Little Barbet,Little Barbet,Gelbohr-Bartvogel,Little Barbet,コアオミミゴシキドリ,Little Barbet,pstrogłów zmienny,Yellow-eared barbet,Yellow-Eared Barbet,Желтоухий бородастик,Gulörad barbett,Little Barbet,Küçük Yeşil Barbet,Бородастик мінливобарвний,黄耳拟啄木鸟
Psilopogon chrysopogon,Gold-whiskered Barbet,Barbu à joues jaunes,Barbudo Carigualdo,Gold-whiskered Barbet,gullkinnskjeggfugl,Gold-whiskered Barbet,Gold-whiskered Barbet,Goldwangen-Bartvogel,Gold-whiskered Barbet,キホオゴシキドリ,Gold-whiskered Barbet,pstrogłów złotawy,Gold-whiskered barbet,Gold-Whiskered Barbet,Желтоусый бородастик,Gulskäggig barbett,นกโพระดกเคราเหลือง,Sarı Bıyıklı Barbet,Бородастик жовтовусий,金须拟啄木鸟
Psilopogon corvinus,Brown-throated Barbet,Barbu corbin,Barbudo Corvino,Bruinkeelbaardvogel,brunstrupeskjeggfugl,Brown-throated Barbet,Brown-throated Barbet,Braunkehl-Bartvogel,Brown-throated Barbet,チャノドゴシキドリ,Brown-throated Barbet,pstrogłów brązowogardły,Brown-throated barbet,Brown-Throated Barbet,Бурогорлый бородастик,Brunstrupig barbett,Brown-throated Barbet,Cava Kahverengi Kafalı Barbeti,Бородастик буроголовий,褐喉拟啄木鸟
Psilopogon duvaucelii,Black-eared Barbet,Barbu à oreillons noirs,Barbudo Orejiazul,Blauwoorbaardvogel,svartøreskjeggfugl,Blue-eared Barbet,Blue-eared Barbet,Schwarzohr-Bartvogel,Blue-eared Barbet,アオミミゴシキドリ,Blue-eared Barbet,pstrogłów czarnouchy,Black-eared barbet,Black-Eared Barbet,Синеухий бородастик,Blåörad barbett,นกโพระดกหน้าผากดำ,Mavi Kulaklı Barbet,Бородастик малазійський,黑耳拟啄木鸟
Psilopogon eximius,Bornean Barbet,Barbu à gorge noire,Barbudo Eximio,Zwartkeelbaardvogel,fagerskjeggfugl,Bornean Barbet,Bornean Barbet,Schwarzkehl-Bartvogel,Bornean Barbet,ノドグロゴシキドリ,Bornean Barbet,pstrogłów czarnogardły,Bornean barbet,Bornean Barbet,Черногорлый бородастик,Borneobarbett,Bornean Barbet,Borneo Kara Gerdanlı Barbeti,Бородастик чорногорлий,加里曼丹拟啄木鸟
Psilopogon faber,Chinese Barbet,Barbu forgeron,Barbudo Chino,Chinese Baardvogel,svartkroneskjeggfugl,Chinese Barbet,Chinese Barbet,Schwarzstirn-Bartvogel,Chinese Barbet,チュウゴクゴシキドリ,Chinese Barbet,pstrogłów hainański,Chinese barbet,Chinese Barbet,Китайский бородастик,Kinesisk barbett,Chinese Barbet,Çin Barbeti,Бородастик китайський,黑眉拟啄木鸟
Psilopogon faiostrictus,Green-eared Barbet,Barbu grivelé,Barbudo Orejiverde,Groenoorbaardvogel,grønnkinnskjeggfugl,Green-eared Barbet,Green-eared Barbet,Grünohr-Bartvogel,Green-eared Barbet,ミミアオゴシキドリ,Green-eared Barbet,pstrogłów zielonolicy,Green-eared barbet,Green-Eared Barbet,Зеленоухий бородастик,Grönörad barbett,นกโพระดกหูเขียว,Yeşil Kulaklı Barbet,Бородастик зеленощокий,黄纹拟啄木鸟
Psilopogon flavifrons,Yellow-fronted Barbet,Barbu à front d'or,Barbudo Frentigualdo,Ceylonese Baardvogel,gulpanneskjeggfugl,Yellow-fronted Barbet,Yellow-fronted Barbet,Goldstirn-Bartvogel,Yellow-fronted Barbet,キビタイゴシキドリ,Yellow-fronted Barbet,pstrogłów żółtoczelny,Yellow-fronted barbet,Yellow-Fronted Barbet,Желтолобый бородастик,Gulpannad barbett,Yellow-fronted Barbet,Sarı Alınlı Barbet,Бородастик жовтолобий,黄额拟啄木鸟
Psilopogon franklinii,Golden-throated Barbet,Barbu de Franklin,Barbudo de Franklin,Goudkeelbaardvogel (franklinii/ramsayi),gulstrupeskjeggfugl,Golden-throated Barbet,Golden-throated Barbet,Goldkehl-Bartvogel,Golden-throated Barbet,Golden-throated Barbet,Golden-throated Barbet,pstrogłów złotobrody,Golden-throated barbet,Golden-Throated Barbet,Желтогорлый бородастик,Guldstrupig barbett,นกโพระดกคางเหลือง,Altın Gıdılı Barbet,Бородастик золотогорлий,金喉拟啄木鸟
Psilopogon haemacephalus,Coppersmith Barbet,Barbu à plastron rouge,Barbudo Calderero,Kopersmid,smedskjeggfugl,Coppersmith Barbet,Coppersmith Barbet,Kupferschmied-Bartvogel,Coppersmith Barbet,ムネアカゴシキドリ,Coppersmith Barbet,pstrogłów żółtogardły,Coppersmith barbet,Coppersmith Barbet,Краснолобый бородастик,Kopparslagarbarbett,นกตีทอง,Al Göğüslü Barbet,Бородастик червоноголовий,赤胸拟啄木鸟
Psilopogon henricii,Yellow-crowned Barbet,Barbu à sourcils jaunes,Barbudo Coronigualdo,Geelkapbaardvogel,gulbrynskjeggfugl,Yellow-crowned Barbet,Yellow-crowned Barbet,Gelbscheitel-Bartvogel,Yellow-crowned Barbet,キンカブリゴシキドリ,Yellow-crowned Barbet,pstrogłów złotoczelny,Yellow-crowned barbet,Yellow-Crowned Barbet,Желтошапочный бородастик,Gulkronad barbett,นกโพระดกหัวเหลือง,Sarı Tepeli Barbet,Бородастик золотолобий,黄顶拟啄木鸟
Psilopogon incognitus,Moustached Barbet,Barbu de Hume,Barbudo Bigotudo,Groenkapbaardvogel,blåkinnskjeggfugl,Moustached Barbet,Moustached Barbet,Grünscheitel-Bartvogel,Moustached Barbet,クロヒゲゴシキドリ,Moustached Barbet,pstrogłów czarnowąsy,Moustached barbet,Moustached Barbet,Усатый бородастик,Mustaschbarbett,นกโพระดกคอสีฟ้าเคราดำ,Sürmeli Barbet,Бородастик чорновусий,休氏拟啄木鸟
Psilopogon lagrandieri,Red-vented Barbet,Barbu à ventre rouge,Barbudo Ventrirrojo,Lagrandiers Baardvogel,rødgumpskjeggfugl,Red-vented Barbet,Red-vented Barbet,Rotsteiß-Bartvogel,Red-vented Barbet,シリアカオオゴシキドリ,Red-vented Barbet,pstrogłów błękitnobrewy,Red-vented barbet,Red-Vented Barbet,Красногузый бородастик,Rödgumpad barbett,Red-vented Barbet,Al Etekli Barbet,Бородастик блакитнобровий,红臀拟啄木鸟
Psilopogon lineatus,Lineated Barbet,Barbu rayé,Barbudo Listado,Gestreepte Baardvogel,stripeskjeggfugl,Lineated Barbet,Lineated Barbet,Streifenbartvogel,Lineated Barbet,シロボシオオゴシキドリ,Lineated Barbet,pstrogłów plamkowany,Lineated barbet,Lineated Barbet,Полосатый бородастик,Streckig barbett,นกโพระดกธรรมดา,Kırçıllı Barbet,Бородастик смугастий,斑头绿拟啄木鸟
Psilopogon malabaricus,Malabar Barbet,Barbu de Malabar,Barbudo Malabar,Karmijnkeelbaardvogel,malabarskjeggfugl,Malabar Barbet,Malabar Barbet,Malabarbartvogel,Malabar Barbet,マラバルゴシキドリ,Malabar Barbet,pstrogłów malabarski,Malabar barbet,Malabar Barbet,Малабарский бородастик,Malabarbarbett,Malabar Barbet,Malabar Barbeti,Бородастик західний,马拉巴拟啄木鸟
Psilopogon monticola,Mountain Barbet,Barbu montagnard,Barbudo Montano,Bergbaardvogel,bergskjeggfugl,Mountain Barbet,Mountain Barbet,Borneobartvogel,Mountain Barbet,ヤマゴシキドリ,Mountain Barbet,pstrogłów górski,Mountain barbet,Mountain Barbet,Горный бородастик,Bergbarbett,Mountain Barbet,Yeşil Dağ Barbeti,Бородастик гірський,山拟啄木鸟
Psilopogon mystacophanos,Red-throated Barbet,Barbu arlequin,Barbudo Arlequín,Harlekijnbaardvogel,rødstrupeskjeggfugl,Red-throated Barbet,Red-throated Barbet,Harlekinbartvogel,Red-throated Barbet,ノドアカゴシキドリ,Red-throated Barbet,pstrogłów czerwonogardły,Red-throated barbet,Red-Throated Barbet,Красногорлый бородастик,Rödstrupig barbett,นกโพระดกคางแดง,Kırmızı Boğazlı Barbet,Бородастик червоногорлий,丽色拟啄木鸟
Psilopogon nuchalis,Taiwan Barbet,Barbu de Formose,Barbudo de Formosa,Taiwanbaardvogel,taiwanskjeggfugl,Taiwan Barbet,Taiwan Barbet,Taiwanbartvogel,Taiwan Barbet,タイワンゴシキドリ,Taiwan Barbet,pstrogłów tajwański,Taiwan barbet,Taiwan Barbet,Тайваньский бородастик,Taiwanbarbett,Taiwan Barbet,Tayvan Barbeti,Бородастик тайванський,台湾拟啄木鸟
Psilopogon oorti,Black-browed Barbet,Barbu malais,Barbudo Cejinegro,Zwartbrauwbaardvogel,svartbrynskjeggfugl,Black-browed Barbet,Black-browed Barbet,Schwarzbrauen-Bartvogel,Black-browed Barbet,ゴシキドリ,Black-browed Barbet,pstrogłów czarnobrewy,Black-browed barbet,Black-Browed Barbet,Чернобровый бородастик,Svartbrynad barbett,นกโพระดกคิ้วดำ,Kara Kaşlı Barbet,Бородастик чорнобровий,马来拟啄木鸟
Psilopogon pulcherrimus,Golden-naped Barbet,Barbu élégant,Barbudo Elegante,Goudnekbaardvogel,gullnakkeskjeggfugl,Golden-naped Barbet,Golden-naped Barbet,Prachtbartvogel,Golden-naped Barbet,キエリゴシキドリ,Golden-naped Barbet,pstrogłów złotokarkowy,Golden-naped barbet,Golden-Naped Barbet,Синелицый бородастик,Guldnackad barbett,Golden-naped Barbet,Altın Yakalı Barbet,Бородастик борнейський,金枕拟啄木鸟
Psilopogon pyrolophus,Fire-tufted Barbet,Barbu à collier,Barbudo Picofuego,Vuurpluimbaardvogel,rødbustskjeggfugl,Fire-tufted Barbet,Fire-tufted Barbet,Rotbüschel-Bartvogel,Fire-tufted Barbet,アカフサゴシキドリ,Fire-tufted Barbet,pstrogłów żaroczuby,Fire-tufted barbet,Fire-Tufted Barbet,Чубатый бородастик,Eldtofsbarbett,นกโพระดกหนวดแดง,Al Püsküllü Barbet,Бородастик червоночубий,火簇拟啄木鸟
Psilopogon rafflesii,Red-crowned Barbet,Barbu bigarré,Barbudo Multicolor,Regenboogbaardvogel,rødkroneskjeggfugl,Red-crowned Barbet,Red-crowned Barbet,Vielfarben-Bartvogel,Red-crowned Barbet,ニシキゴシキドリ,Red-crowned Barbet,pstrogłów krasnoczapkowy,Red-crowned barbet,Red-Crowned Barbet,Многоцветный бородастик,Rödkronad barbett,นกโพระดกหลากสี,Al Tepeli Barbet,Бородастик вогнистоголовий,花彩拟啄木鸟
Psilopogon rubricapillus,Crimson-fronted Barbet,Barbu à couronne rouge,Barbudo de Ceilán,Roodkeelbaardvogel,flammeskjeggfugl,Crimson-fronted Barbet,Crimson-fronted Barbet,Ceylonbartvogel,Crimson-fronted Barbet,ヒノドゴシキドリ,Crimson-fronted Barbet,pstrogłów czerwonoczelny,Crimson-fronted barbet,Crimson-Fronted Barbet,Цейлонский бородастик,Ceylonbarbett,Crimson-fronted Barbet,Kırmızı Alınlı Barbet,Бородастик малабарський,斯里兰卡拟啄木鸟
Psilopogon virens,Great Barbet,Barbu géant,Barbudo Grande,Grote Baardvogel,himalayaskjeggfugl,Great Barbet,Great Barbet,Heulbartvogel,Great Barbet,オオゴシキドリ,Great Barbet,pstrogłów żółtodzioby,Great barbet,Great Barbet,Большой бородастик,Större barbett,นกตั้งล้อ,Büyük Barbet,Бородастик великий,大拟啄木鸟
Psilopogon viridis,White-cheeked Barbet,Barbu vert,Barbudo Cariblanco,Groene Baardvogel,hvitkinnskjeggfugl,White-cheeked Barbet,White-cheeked Barbet,Grünbartvogel,White-cheeked Barbet,チャガシラゴシキドリ,White-cheeked Barbet,pstrogłów białolicy,White-cheeked barbet,White-Cheeked Barbet,Белоухий бородастик,Vitkindad barbett,White-cheeked Barbet,Ak Yanaklı Barbet,Бородастик білощокий,小绿拟啄木鸟
Psilopogon zeylanicus,Brown-headed Barbet,Barbu à tête brune,Barbudo Cabecipardo,Bruinkopbaardvogel,brunhodeskjeggfugl,Brown-headed Barbet,Brown-headed Barbet,Braunkopf-Bartvogel,Brown-headed Barbet,ミドリオオゴシキドリ,Brown-headed Barbet,pstrogłów nakrapiany,Brown-headed barbet,Brown-Headed Barbet,Буроголовый бородастик,Brunhuvad barbett,Brown-headed Barbet,Kahverengi Başlı Barbet,Бородастик цейлонський,棕头绿拟啄木鸟
